name lon lat ele ddf
HSD_AT_113100 12.85861 46.85667 1210 1.5951700600442
HSD_AT_113118 12.97361 46.74833 621 1.70187543412827
HSD_AT_113126 13.17944 46.74667 615 1.27123035773989
HSD_AT_113175 12.851442 47.036131 1325 2.5194951635045
HSD_AT_113225 13.03472 46.88834 849 1.47088372506636
HSD_AT_113399 13.50694 46.95472 835 3.42703891708968
HSD_AT_113449 13.44194 46.68139 990 1.28384470882905
HSD_AT_113464 13.56639 46.73333 1026 4.65368492224476
HSD_AT_113480 13.721889 46.68249 542 2.05741194574262
HSD_AT_113555 14.04639 46.69833 510 1.66092576493033
HSD_AT_113563 13.97083 46.66056 526 1.65113134657837
HSD_AT_113597 12.744816 46.702933 1134 1.18981338282297
HSD_AT_113670 13.228528 46.636888 637 0.818225513120291
HSD_AT_113704 13.26556 46.67833 760 0.989205909510619
HSD_AT_113738 13.61056 46.57666 561 1.19104629946402
HSD_AT_113746 13.71167 46.55 574 1.57107061385684
HSD_AT_113787 14.15583 46.46889 987 1.71428992556563
HSD_AT_113803 14.24222 46.52972 453 1.36187770562771
HSD_AT_113837 14.21528 46.46889 1055 2.24005951714711
HSD_AT_113894 14.595788 46.490212 620 1.76414802981895
HSD_AT_113936 14.05917 46.82333 823 1.68213413199932
HSD_AT_114025 14.4925 46.85028 594 2.60314606741573
HSD_AT_114066 14.53389 46.85056 630 2.58909411676887
HSD_AT_114124 14.11 46.68722 581 1.29898174831892
HSD_AT_114165 14.27056 46.80416 1096 2.22015102292417
HSD_AT_114215 14.16556 46.59278 516 1.49325256260355
HSD_AT_114249 14.60167 46.60555 462 1.65424752048297
HSD_AT_114256 14.57333 46.67306 463 1.44918224299065
HSD_AT_114272 14.61722 46.74417 1150 1.92641726992612
HSD_AT_114298 14.74778 47.00722 791 1.39108087679516
HSD_AT_114306 14.803112 46.927472 790 1.34766355140187
HSD_AT_114512 13.0275 46.76361 1153 2.89915611814346
HSD_AT_114538 13.01556 46.66333 692 0.768335552596538
HSD_AT_114561 14.31861 46.61278 442 4.05757489451477
HSD_AT_114587 14.279971 46.974665 734 2.02385542199
HSD_AT_114603 14.557885 46.921649 1055 1.13565626868647
HSD_AT_114629 14.00222 46.61722 535 1.623455189124
HSD_AT_114694 13.9325 46.78667 976 1.78454668300206
HSD_AT_114702 14.82639 46.82778 461 3.04362745098039
HSD_AT_114777 14.33111 46.73444 490 1.34268488745981
HSD_AT_114884 13.2825 46.61305 615 0.413842358135307
HSD_AT_103432 12.48583 47.25417 900 1.60243063997623
HSD_AT_103440 12.52889 47.29139 816 3.53406318782098
HSD_AT_103580 12.97139 47.15223 1077 1.74216695254431
HSD_AT_103622 13.11511 47.086674 1120 1.51138552729069
HSD_AT_103655 13.080951 47.264256 812 2.06877323420074
HSD_AT_103663 13.088522 47.315989 830 1.85
HSD_AT_103689 13.245598 47.171073 980 1.51602813945765
HSD_AT_103697 13.2 47.23833 890 1.86112029384757
HSD_AT_103705 13.31944 47.27861 1000 1.52966685649945
HSD_AT_103770 13.314723 47.412418 730 1.43785784918136
HSD_AT_103820 13.1575 47.59167 473 1.64165376840645
HSD_AT_103846 13.2225 47.76111 727 1.76201934327307
HSD_AT_103879 13.0225 47.74667 440 1.36509608277901
HSD_AT_103895 13.12194 47.885 520 2.49615609027912
HSD_AT_103929 12.85167 47.43556 765 2.40074906367041
HSD_AT_103945 12.75417 47.52306 668 2.10893528517719
HSD_AT_103978 12.69972 47.5775 630 3.18925501432665
HSD_AT_104000 13.01167 47.97472 460 3.14570988841862
HSD_AT_104018 12.94833 47.96139 446 2.5675647120972
HSD_AT_104059 12.29833 47.2525 830 1.86840142077149
HSD_AT_104356 13.25083 47.97722 530 1.65063900807178
HSD_AT_105254 13.4875 47.7225 540 1.95576653122649
HSD_AT_105353 13.30472 47.79333 670 3.87701357824198
HSD_AT_105908 13.39583 47.34722 910 1.94478581654003
HSD_AT_105916 13.45417 47.38917 890 4.03284627092846
HSD_AT_105932 13.50889 47.30555 1016 1.49185402578977
HSD_AT_105940 13.52306 47.43556 1050 1.60580537711159
HSD_AT_106682 12.320988 47.261762 844 2.00484848484848
HSD_AT_106690 13.0925 47.66111 820 1.52091660005329
HSD_AT_110163 13.80889 47.18972 1190 1.68768842133759
HSD_AT_111500 13.47361 47.10833 1110 2.33557814485388
HSD_AT_111526 13.51444 47.14944 1200 2.80053879310345
HSD_AT_111542 13.628295 47.177636 1200 2.17750836120401
HSD_AT_111559 13.70833 47.17611 1100 2.83375894757206
HSD_AT_111641 13.953722 47.155594 1226 1.61786171390818
HSD_AT_115022 13.21056 47.86916 741 2.06036821705426
HSD_AT_115030 13.13886 47.668361 495 1.84295338966083
HSD_AT_115055 13.881782 47.069557 940 1.90153798015475
HSD_AT_126029 13.42306 47.5375 720 1.76350821649329
HSD_AT_101147 10.297082 47.212739 1380 3.59310344827586
HSD_AT_101162 10.535317 47.268014 1320 3.82839028583709
HSD_AT_101170 10.60556 47.28472 1355 2.06110477623925
HSD_AT_101188 10.455338 47.358754 1100 1.79168556311413
HSD_AT_101196 10.54361 47.35833 954 2.33632467643782
HSD_AT_101204 10.65833 47.355 1260 2.92041410546749
